,ID,tank,trt,date,totno,nochiro,no_odo,totbio,biochiro,bio_odo,trt0f,date0f
1,338,1,1,6/20/2016,55,55,0,0.00396,0.00396,0.000000001,1,6/20/2016
8,359,2,2,6/20/2016,96,96,0,0.02005,0.02005,0.000000001,2,6/20/2016
14,341,3,3,6/20/2016,47,47,0,0.01409,0.01409,0.000000001,3,6/20/2016
21,351,4,1,6/20/2016,20,59,0,0.01213,0.01213,0.000000001,1,6/20/2016
28,356,5,3,6/20/2016,50,45,0,0.02413,0.01651,0.000000001,3,6/20/2016
34,379,6,1,6/20/2016,12,12,0,0.00442,0.00442,0.000000001,1,6/20/2016
41,336,7,2,6/20/2016,18,18,0,0.00653,0.00653,0.000000001,2,6/20/2016
48,398,8,3,6/20/2016,1,1,0,0.00053,0.00053,0.000000001,3,6/20/2016
55,390,9,4,6/20/2016,46,46,0,0.01272,0.01272,0.000000001,4,6/20/2016
62,355,10,4,6/20/2016,15,14,0,0.00494,0.00463,0.000000001,4,6/20/2016
69,371,11,1,6/20/2016,25,25,0,0.01128,0.01128,0.000000001,1,6/20/2016
76,388,12,3,6/20/2016,18,18,0,0.00634,0.00634,0.000000001,3,6/20/2016
83,372,13,2,6/20/2016,19,19,0,0.00966,0.00966,0.000000001,2,6/20/2016
90,348,14,4,6/20/2016,36,36,0,0.00783,0.00783,0.000000001,4,6/20/2016
96,363,15,4,6/20/2016,36,35,0,0.01612,0.0157,0.000000001,4,6/20/2016
103,391,16,2,6/20/2016,7,7,0,0.00221,0.00221,0.000000001,2,6/20/2016
110,365,17,1,6/20/2016,4,4,0,0.00075,0.00075,0.000000001,1,6/20/2016
117,374,18,2,6/20/2016,19,19,0,0.00433,0.00433,0.000000001,2,6/20/2016
124,368,19,1,6/20/2016,26,26,0,0.00681,0.00681,0.000000001,1,6/20/2016
130,393,20,3,6/20/2016,59,58,0,0.02289,0.02247,0.000000001,3,6/20/2016
137,383,21,2,6/20/2016,68,68,0,0.01067,0.01067,0.000000001,2,6/20/2016
144,375,22,4,6/20/2016,19,19,0,0.00759,0.00759,0.000000001,4,6/20/2016
151,335,23,3,6/20/2016,1,1,0,0.00028,0.00028,0.000000001,3,6/20/2016
158,345,24,4,6/20/2016,15,15,0,0.00659,0.00659,0.000000001,4,6/20/2016
2,449,1,1,6/28/2016,186,186,0,0.0045275,0.0045275,0.000000001,1,6/28/2016
15,402,3,3,6/28/2016,137,137,0,0.02,0.02,0.000000001,3,6/28/2016
22,447,4,1,6/28/2016,158,158,0,0.05427,0.05427,0.000000001,1,6/28/2016
29,438,5,3,6/28/2016,212,212,0,0.00919,0.00919,0.000000001,3,6/28/2016
35,456,6,1,6/28/2016,62,62,0,0.04809,0.04809,0.000000001,1,6/28/2016
42,473,7,2,6/28/2016,68,68,0,0.02402,0.02402,0.000000001,2,6/28/2016
49,445,8,3,6/28/2016,64,64,0,0.02271,0.02271,0.000000001,3,6/28/2016
56,433,9,4,6/28/2016,69,69,0,0.02491,0.02491,0.000000001,4,6/28/2016
63,429,10,4,6/28/2016,94,102,0,0.03149,0.03149,0.000000001,4,6/28/2016
70,454,11,1,6/28/2016,9,9,0,0.00364,0.00364,0.000000001,1,6/28/2016
77,467,12,3,6/28/2016,140,139,0,0.04712,0.04521,0.000000001,3,6/28/2016
84,462,13,2,6/28/2016,40,40,0,0.00814,0.00814,0.000000001,2,6/28/2016
91,431,14,4,6/28/2016,5,5,0,0.00269,0.00269,0.000000001,4,6/28/2016
97,425,15,4,6/28/2016,243,243,0,0.08262,0.08262,0.000000001,4,6/28/2016
