ID,tank,trt,date,morph,g_ind
338,1,1,6/20/2016,D,0.00006
339,1,1,6/20/2016,E,0.000150588
449,1,1,6/28/2016,C,0.000229286
450,1,1,6/28/2016,D,0.000114
451,1,1,6/28/2016,E,0.000199649
452,1,1,6/28/2016,F,2.26667E-05
79,1,1,7/4/2016,A,0.00062
75,1,1,7/4/2016,C,0.00032
76,1,1,7/4/2016,D,0.0001105
77,1,1,7/4/2016,E,0.000251589
546,1,1,7/12/2016,A,0.00014
547,1,1,7/12/2016,C,0.002876667
548,1,1,7/12/2016,E,0.000214
230,1,1,7/18/2016,A,0.00174
231,1,1,7/18/2016,C,0.000156667
670,1,1,7/18/2016,E,0.000322
320,1,1,7/26/2016,A,0.001658
324,1,1,7/26/2016,C,0.00016
321,1,1,7/26/2016,D,5.57143E-05
322,1,1,7/26/2016,E,0.000167143
573,1,1,8/2/2016,A,0.000936429
574,1,1,8/2/2016,C,0.000075
575,1,1,8/2/2016,D,6.96667E-05
576,1,1,8/2/2016,E,0.000164
358,2,2,6/20/2016,D,0.000108
359,2,2,6/20/2016,E,0.000130857
417,2,2,6/28/2016,A,0.000632
418,2,2,6/28/2016,C,0.000278
419,2,2,6/28/2016,D,0.0001
420,2,2,6/28/2016,E,0.000275152
80,2,2,7/4/2016,A,0.0010625
83,2,2,7/4/2016,C,0.00036
81,2,2,7/4/2016,D,0.00178
82,2,2,7/4/2016,E,0.000486301
516,2,2,7/12/2016,A,0.00069
517,2,2,7/12/2016,B,0.0009
518,2,2,7/12/2016,C,0.000119
519,2,2,7/12/2016,D,0.00004
520,2,2,7/12/2016,E,0.000243333
212,2,2,7/18/2016,A,0.001012
213,2,2,7/18/2016,C,0.00027
214,2,2,7/18/2016,E,0.000316667
298,2,2,7/26/2016,A,0.001668333
299,2,2,7/26/2016,D,0.000163333
300,2,2,7/26/2016,E,0.000025
601,2,2,8/2/2016,A,0.00137
602,2,2,8/2/2016,B,0.000197778
603,2,2,8/2/2016,C,0.000152
604,2,2,8/2/2016,D,0.000057
605,2,2,8/2/2016,E,0.000897037
340,3,3,6/20/2016,D,0.0000675
341,3,3,6/20/2016,E,0.000321395
402,3,3,6/28/2016,C,0.000221818
403,3,3,6/28/2016,D,8.93333E-05
404,3,3,6/28/2016,E,0.000337917
62,3,3,7/4/2016,D,0.00012
63,3,3,7/4/2016,E,0.000534286
561,3,3,7/12/2016,A,0.00162
562,3,3,7/12/2016,C,0.000103333
563,3,3,7/12/2016,E,0.00033
204,3,3,7/18/2016,A,0.000753333
205,3,3,7/18/2016,C,0.000172222
206,3,3,7/18/2016,D,0.000115
207,3,3,7/18/2016,E,5.22222E-05
311,3,3,7/26/2016,A,0.001425455
312,3,3,7/26/2016,D,0.0001575
313,3,3,7/26/2016,E,0.000212
614,3,3,8/2/2016,B,0.000835
615,3,3,8/2/2016,C,0.000167143
616,3,3,8/2/2016,D,0.00016
617,3,3,8/2/2016,E,0.000243333
351,4,1,6/20/2016,D,0.0000305
352,4,1,6/20/2016,E,0.000295385
446,4,1,6/28/2016,C,0.00111
447,4,1,6/28/2016,D,0.000025
448,4,1,6/28/2016,E,0.000295342
128,4,1,7/4/2016,C,0.0002375
129,4,1,7/4/2016,D,0.00008125
130,4,1,7/4/2016,E,0.000367761
566,4,1,7/12/2016,C,0.00014
