tank,date,trt,datetrt,nobugs,nom2
1,6/20/2016,1,11,31,969
1,7/6/2016,1,21,43,1344
1,8/2/2016,1,31,48,1500
2,6/20/2016,2,12,16,500
2,7/6/2016,2,22,27,844
2,8/2/2016,2,32,28,875
3,6/20/2016,3,13,23,719
3,7/6/2016,3,23,109,3406
3,8/2/2016,3,33,21,656
4,6/20/2016,1,11,147,4594
4,7/6/2016,1,21,92,2875
4,8/2/2016,1,31,100,3125
5,6/20/2016,3,13,106,3313
5,7/6/2016,3,23,41,1281
5,8/2/2016,3,33,0,0
6,6/20/2016,1,11,49,1531
6,7/6/2016,1,21,10,313
6,8/2/2016,1,31,37,1156
7,6/20/2016,2,12,9,281
7,7/6/2016,2,22,195,6094
7,8/2/2016,2,32,11,344
8,6/20/2016,3,13,24,750
8,7/6/2016,3,23,10,313
8,8/2/2016,3,33,43,1344
9,6/20/2016,4,14,27,844
9,7/6/2016,4,24,294,9188
9,8/2/2016,4,34,42,1313
10,6/20/2016,4,14,5,156
10,7/6/2016,4,24,19,594
10,8/2/2016,4,34,46,1438
11,6/20/2016,1,11,12,375
11,7/6/2016,1,21,28,875
11,8/2/2016,1,31,146,4563
12,6/20/2016,3,13,65,2031
12,7/6/2016,3,23,11,344
12,8/2/2016,3,33,9,281
13,6/20/2016,2,12,22,688
13,7/6/2016,2,22,57,1781
13,8/2/2016,2,32,60,1875
14,6/20/2016,4,14,51,1594
14,7/6/2016,4,24,0,0
14,8/2/2016,4,34,14,438
15,6/20/2016,4,14,127,3969
15,7/6/2016,4,24,6,188
15,8/2/2016,4,34,40,1250
16,6/20/2016,2,12,187,5844
16,7/6/2016,2,22,63,1969
16,8/2/2016,2,32,61,1906
17,6/20/2016,1,11,99,3094
17,7/6/2016,1,21,397,12406
17,8/2/2016,1,31,35,1094
18,6/20/2016,2,12,26,813
18,7/6/2016,2,22,69,2156
18,8/2/2016,2,32,57,1781
19,6/20/2016,1,11,88,2750
19,7/6/2016,1,21,29,906
19,8/2/2016,1,31,25,781
20,6/20/2016,3,13,41,1281
20,7/6/2016,3,23,119,3719
20,8/2/2016,3,33,35,1094
21,6/20/2016,2,12,59,1844
21,7/6/2016,2,22,12,375
21,8/2/2016,2,32,20,625
22,6/20/2016,4,14,68,2125
22,7/6/2016,4,24,270,8438
22,8/2/2016,4,34,28,875
23,6/20/2016,3,13,19,594
23,7/6/2016,3,23,0,0
23,8/2/2016,3,33,30,938
24,6/20/2016,4,14,27,844
24,7/6/2016,4,24,362,11313
24,8/2/2016,4,34,18,563
