,ID,tank,trt,date,g_ind,trt0f,date0f
1,669,1,1,7/18/2016,0.05854,1,7/18/2016
2,323,1,1,7/26/2016,0.06632,1,7/26/2016
3,599,2,2,8/2/2016,0.06055,2,8/2/2016
4,297,2,2,7/26/2016,0.035178,2,7/26/2016
5,613,3,3,8/2/2016,0.05673,3,8/2/2016
6,310,3,3,7/26/2016,0.054513333,3,7/26/2016
7,284,4,1,7/26/2016,0.03938,1,7/26/2016
8,649,6,1,8/2/2016,0.07605,1,8/2/2016
9,222,7,2,7/18/2016,0.057625,2,7/18/2016
10,289,7,2,7/26/2016,0.036445,2,7/26/2016
11,650,7,2,8/2/2016,0.051545,2,8/2/2016
12,330,8,3,7/26/2016,0.05317,3,7/26/2016
13,619,9,4,8/2/2016,0.0526775,4,8/2/2016
14,256,10,4,7/26/2016,0.05667,4,7/26/2016
15,283,11,1,7/26/2016,0.040423333,1,7/26/2016
16,269,11,1,7/26/2016,0.031885,1,7/26/2016
17,318,12,3,7/26/2016,0.046749,3,7/26/2016
18,192,12,3,7/18/2016,0.06132,3,7/18/2016
19,196,13,2,7/18/2016,0.006954667,2,7/18/2016
20,639,13,2,8/2/2016,0.03705,2,8/2/2016
21,296,13,2,7/26/2016,0.052605,2,7/26/2016
22,611,14,4,8/2/2016,0.0545,4,8/2/2016
23,259,14,4,7/26/2016,0.04112,4,7/26/2016
24,139,15,4,7/18/2016,0.056426,4,7/18/2016
25,232,15,4,7/26/2016,0.05805,4,7/26/2016
26,246,16,2,7/26/2016,0.05171,2,7/26/2016
27,174,16,2,7/18/2016,0.06106,2,7/18/2016
28,1,16,2,8/2/2016,0.054365,2,8/2/2016
29,134,17,1,7/18/2016,0.05228,1,7/18/2016
30,634,18,2,8/2/2016,0.04698,2,8/2/2016
31,242,18,2,7/26/2016,0.05493,2,7/26/2016
32,184,18,2,7/18/2016,0.057883333,2,7/18/2016
33,588,19,1,8/2/2016,0.055235,1,8/2/2016
34,247,19,1,7/26/2016,0.043465,1,7/26/2016
35,583,20,3,8/2/2016,0.03495,3,8/2/2016
36,589,21,2,8/2/2016,0.059205,2,8/2/2016
37,665,22,4,8/2/2016,0.06625,4,8/2/2016
38,156,22,4,7/18/2016,0.051995,4,7/18/2016
39,329,22,4,7/26/2016,0.048231667,4,7/26/2016
40,9,23,3,8/2/2016,0.049085,3,8/2/2016
41,279,23,3,7/26/2016,0.054893333,3,7/26/2016
42,276,24,4,7/26/2016,0.04608,4,7/26/2016
43,572,1,1,8/2/2016,0.065885,1,8/2/2016
