,tank,date,trt,totbio,chirobio,odobio
1,1,1,1,10.04,10.04,0.0000001
2,1,2,1,20.137,19.753,0.384
3,1,3,1,42.215,33.058,5.247
4,2,1,2,10.97,10.89,0.0000001
5,2,2,2,28.026,27.707,0.319
6,2,3,2,68.305,39.417,9.912
7,3,1,3,2.237,2.237,0.0000001
8,3,2,3,107.076,71.649,26.824
9,3,3,3,75.348,1.733,71.542
10,4,1,1,166.625,166.553,0.071
11,4,2,1,116.415,111.498,4.917
12,4,3,1,120.816,12.048,108.768
13,5,1,3,114.076,113.762,0.314
14,5,2,3,32.162,28.502,3.66
15,5,3,3,38.623,26.115,7.494
16,6,1,1,53.02,53.02,0.0000001
17,6,2,1,17.196,2.696,14.501
18,6,3,1,14.456,1.748,12.707
19,7,1,2,3.528,3.528,0.0000001
20,7,2,2,213.42,211.287,0.629
21,7,3,2,62.785,9.79,40.474
22,8,1,3,14.753,14.299,0.0000001
23,8,2,3,15.957,0.936,0.0000001
24,8,3,3,78.217,46.396,11.395
25,9,1,4,24.651,24.651,0.0000001
26,9,2,4,483.967,417.419,42.832
27,9,3,4,158.677,3.86,150.879
28,10,1,4,4.439,4.439,0.0000001
29,10,2,4,18.446,15.576,2.87
30,10,3,4,44.268,9.696,27.59
31,11,1,1,7.585,7.585,0.0000001
32,11,2,1,76.333,13.331,58.231
33,11,3,1,349.578,92.867,247.669
34,12,1,3,88.277,88.056,0.0000001
35,12,2,3,18.301,18.301,0.0000001
36,12,3,3,66.785,1.106,65.678
37,13,1,2,4.257,4.257,0.0000001
38,13,2,2,15.031,9.37,5.661
39,13,3,2,24.712,4.987,17.861
40,14,1,4,31.228,31.185,0.0000001
41,14,3,4,52.296,0.38,51.916
42,15,1,4,106.753,106.753,0.0000001
43,15,2,4,7.246,1.878,5.368
44,15,3,4,178.408,2.959,162.184
45,16,1,2,160.552,155.135,0.278
46,16,2,2,111.57,77.68,33.889
47,16,3,2,57.842,0.8,42.279
48,17,1,1,36.031,35.533,0.0000001
49,17,2,1,603.741,300.064,302.197
50,17,3,1,115.403,1.305,107.108
51,18,1,2,13.085,12.934,0.151
52,18,2,2,27.409,11.695,15.715
53,18,3,2,55.977,2.455,38.307
54,19,1,1,14.235,14.084,0.151
55,19,2,1,16.602,7.589,1.077
56,19,3,1,16.767,1.661,12.398
57,20,1,3,27.199,17.037,0.0000001
58,20,2,3,151.915,80.858,60.474
59,20,3,3,39.39,2.11,32.391
60,21,1,2,55.046,46.356,0.0000001
61,21,2,2,21.881,7.93,13.951
62,21,3,2,48.875,1.664,47.211
63,22,1,4,34.846,33.237,0.624
64,22,2,4,343.793,269.28,74.185
65,22,3,4,201.603,5.579,196.024
66,23,1,3,20.897,20.821,0.0000001
67,23,2,3,2.242,2.242,0.0000001
68,23,3,3,12.584,4.588,7.672
69,24,1,4,23.128,9.377,0.651
70,24,2,4,303.88,69.028,233.17
71,24,3,4,6.9,0.68,3.953
